id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1650,37.3961998,127.1178639,37.3962628,127.1178639,4283503552,11918729063,7.005,0.0,,none,0.0,False,0
1651,37.3961998,127.1178639,37.3961428,127.1184216,4283503552,4278402205,51.29299999999999,0.0,"LINESTRING (127.1178639 37.3961998, 127.118266 37.3961982, 127.118325 37.396194, 127.1183894 37.3961727, 127.1184216 37.3961428)",none,0.0,False,0
1652,37.3973262,127.1178641,37.396802,127.117864,4283503553,4283503557,58.288,0.0,,park: 저류지,0.0,False,0
1653,37.3973262,127.1178641,37.3973262,127.1174671,4283503553,4283503554,35.07,0.0,,park: 저류지,0.0,False,0
1654,37.3973262,127.1178641,37.397356,127.1182342,4283503553,4283503556,33.064,0.0,"LINESTRING (127.1178641 37.3973262, 127.1179875 37.3973518, 127.1182342 37.397356)",park: 저류지,0.0,False,0
1655,37.3973262,127.1174671,37.3973262,127.1178641,4283503554,4283503553,35.07,0.0,,park: 저류지,0.0,False,0
1656,37.397356,127.1182342,37.3973262,127.1178641,4283503556,4283503553,33.064,0.0,"LINESTRING (127.1182342 37.397356, 127.1179875 37.3973518, 127.1178641 37.3973262)",park: 저류지,0.0,False,0
1657,37.396802,127.117864,37.3973262,127.1178641,4283503557,4283503553,58.288,0.0,,park: 저류지,0.0,False,0
1658,37.396802,127.117864,37.3966742,127.117864,4283503557,4283503560,14.211,0.0,,none,0.0,False,0
1659,37.396802,127.117864,37.396802,127.1182557,4283503557,4283503559,34.602000000000004,0.0,"LINESTRING (127.117864 37.396802, 127.1179821 37.396802, 127.1182557 37.396802)",none,0.0,False,0
1660,37.396802,127.1182557,37.396802,127.117864,4283503559,4283503557,34.602000000000004,0.0,"LINESTRING (127.1182557 37.396802, 127.1179821 37.396802, 127.117864 37.396802)",none,0.0,False,0
1661,37.3966742,127.117864,37.396802,127.117864,4283503560,4283503557,14.211,0.0,,none,0.0,False,0
1662,37.3966742,127.117864,37.3962628,127.1178639,4283503560,11918729063,45.746,0.0,,none,0.0,False,0
1663,37.3966742,127.117864,37.3966742,127.1174939,4283503560,4283503561,32.694,0.0,,none,0.0,False,0
1664,37.3966742,127.1174939,37.3966742,127.117864,4283503561,4283503560,32.694,0.0,,none,0.0,False,0
1665,37.3955277,127.118439,37.3938542,127.1184592,4283503562,4278402247,186.094,0.0,,park: 나들이공원,0.0,False,0
1666,37.3955277,127.118439,37.3958474,127.1191489,4283503562,4283503544,72.088,-1.3871934302519144,,park: 나들이공원,-1.0,False,0
1667,37.3955277,127.118439,37.3961428,127.1184216,4283503562,4278402205,68.484,1.460195082062964,"LINESTRING (127.118439 37.3955277, 127.1184323 37.396096, 127.1184216 37.3961428)",park: 나들이공원,1.0,True,0
1668,37.3961798,127.1186473,37.396184,127.1191435,4283503563,4283503543,43.837,0.0121669419685082,,none,-2.0,False,0
1669,37.3958857,127.1195539,37.3958474,127.1191489,4283503566,4283503544,36.75,0.0,"LINESTRING (127.1195539 37.3958857, 127.1193554 37.39589, 127.1192749 37.39589, 127.1191489 37.3958474)",park: 나들이공원,0.0,False,1
1670,37.398669,127.1175962,37.3985117,127.1175345,4283516495,12000324304,18.321,0.0,,"nan: 저류지,stream: 운중천",0.0,False,0
1671,37.398669,127.1175962,37.3985968,127.117288,4283516495,12000324329,28.384,0.0,,"nan: 저류지,stream: 운중천",0.0,False,0
1672,37.398669,127.1175962,37.3986732,127.1177732,4283516495,4283516496,15.643,0.0,,"nan: 저류지,stream: 운중천",0.0,False,0
1673,37.3986732,127.1177732,37.398514,127.1178305,4283516496,12000324271,18.412,0.0,,"nan: 저류지,stream: 운중천",0.0,False,0
1674,37.3986732,127.1177732,37.398669,127.1175962,4283516496,4283516495,15.643,0.0,,"nan: 저류지,stream: 운중천",0.0,False,0
1675,37.3986732,127.1177732,37.3986796,127.1182936,4283516496,4283516500,45.976,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
1676,37.3986796,127.1182936,37.3985314,127.118325,4283516500,12000324311,16.711,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
1677,37.3986796,127.1182936,37.3986732,127.1177732,4283516500,4283516496,45.976,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
1678,37.3986796,127.1182936,37.3986921,127.1186104,4283516500,12000324375,28.02,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
1679,37.3982428,127.1183928,37.3985314,127.118325,4283516502,12000324311,32.646,0.0,"LINESTRING (127.1183928 37.3982428, 127.1183311 37.3985028, 127.118325 37.3985314)","nan: 저류지,stream: 운중천",0.0,False,0
1680,37.3986519,127.1189534,37.3985227,127.1189166,4283516506,12000324390,14.73,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
1681,37.3986519,127.1189534,37.3986921,127.1186104,4283516506,12000324375,30.627,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",-8.0,False,0
1682,37.3986519,127.1189534,37.3986585,127.1190044,4283516506,12000324398,4.565,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
1683,37.398606,127.1192893,37.3986585,127.1190044,4283516507,12000324398,25.835,0.0,,"nan: 저류지,stream: 운중천,nan: 봇들어린이공원",0.0,False,0
